,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
P12268,0.9971,0.9971,0.9825,0.9826,0.9981,0.9981,0.9884,0.9884,0.9981,0.9981,0.9884,0.9884,0.9981,0.9981,0.9884,0.9884,4180,1045,475,4750,rf,cohen_kappa,0.9884
Q96RJ0,0.9748,0.973,0.8288,0.8412,0.958,0.9523,0.6854,0.722,0.9832,0.9838,0.9074,0.9113,0.9748,0.973,0.8288,0.8412,475,119,54,540,svc,cohen_kappa,0.9074
P11387,0.9962,0.9961,0.9211,0.924,0.9981,0.9981,0.962,0.9627,0.9981,0.9981,0.9645,0.9651,0.9962,0.9961,0.9211,0.924,4203,1051,142,5112,svc,cohen_kappa,0.9645
P48443,0.9928,0.9927,0.9561,0.957,0.9928,0.9927,0.9561,0.957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,554,139,63,630,svc,cohen_kappa,1.0
Q03181,0.9948,0.9947,0.9677,0.9678,0.9974,0.9974,0.9839,0.984,0.9908,0.9909,0.9453,0.9456,0.9843,0.9839,0.9005,0.9016,3044,762,346,3460,rf,cohen_kappa,0.9839
Q13946,0.9866,0.9862,0.9139,0.9164,0.9918,0.9916,0.9479,0.9492,0.9846,0.9848,0.9095,0.9103,0.9949,0.9948,0.9679,0.9684,3880,971,441,4410,mlp,cohen_kappa,0.9679
Q01432,0.973,0.9596,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,740,185,25,900,rf,f1_score,1.0
P08581,0.9971,0.9971,0.9822,0.9822,0.9956,0.9956,0.9732,0.9733,0.9964,0.9964,0.9781,0.9781,0.9974,0.9975,0.9847,0.9847,10973,2744,1247,12470,mlp,cohen_kappa,0.9847
P07384,0.9903,0.9901,0.9391,0.9401,0.9988,0.9988,0.9926,0.9926,0.9939,0.994,0.9636,0.9636,0.9927,0.9928,0.9565,0.9566,3300,825,375,3750,rf,cohen_kappa,0.9926
P34903,0.9735,0.9604,0.0,0.0,0.9912,0.9903,0.7957,0.8128,0.9889,0.9887,0.7769,0.7777,0.9867,0.9846,0.6607,0.7023,1805,452,61,2196,rf,f1_score,0.9903
P30872,0.9512,0.9512,0.8915,0.8915,0.9756,0.9754,0.9448,0.9463,0.9024,0.9046,0.797,0.814,0.9268,0.9274,0.8401,0.8412,163,41,68,136,rf,cohen_kappa,0.9448
P25116,0.9948,0.9947,0.9674,0.9679,0.9983,0.9982,0.9893,0.9894,0.9948,0.9948,0.9691,0.9695,0.9983,0.9982,0.9893,0.9894,2288,572,260,2600,rf,cohen_kappa,0.9893
P20309,0.9873,0.987,0.9193,0.9211,0.9893,0.989,0.9319,0.934,0.9731,0.9732,0.8392,0.8393,0.9883,0.9882,0.9277,0.9281,7876,1969,895,8950,rf,cohen_kappa,0.9319
Q9H8M2,0.9737,0.9607,0.0,0.0,1.0,1.0,1.0,1.0,0.9967,0.9968,0.9395,0.9412,0.9967,0.9968,0.9395,0.9412,1213,304,41,1476,rf,f1_score,1.0
P19099,0.9835,0.9835,0.9628,0.9629,0.9929,0.9929,0.9841,0.9841,0.9835,0.9836,0.9633,0.9636,0.9718,0.9719,0.937,0.9372,1696,425,707,1414,rf,cohen_kappa,0.9841
O95263,0.9874,0.9856,0.6969,0.7313,0.9989,0.9988,0.9781,0.9784,0.9989,0.9988,0.9781,0.9784,0.9966,0.9965,0.9316,0.9338,3492,874,118,4248,rf,cohen_kappa,0.9781
Q8N1Q1,0.9913,0.9906,0.8119,0.8208,0.9951,0.995,0.9032,0.9047,0.9883,0.9889,0.8005,0.8045,0.9961,0.9962,0.9313,0.9335,4114,1029,139,5004,mlp,cohen_kappa,0.9313
P45984,0.9602,0.9551,0.7004,0.7341,0.9659,0.9623,0.7519,0.7762,0.9659,0.9659,0.7937,0.7937,0.9716,0.972,0.8328,0.8333,704,176,80,800,mlp,cohen_kappa,0.8328
P51512,0.9855,0.9849,0.9013,0.9057,0.9855,0.9849,0.9013,0.9057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,272,69,31,310,svc,cohen_kappa,1.0
P45983,0.9947,0.9946,0.9668,0.9673,0.9929,0.9928,0.9561,0.9563,0.9947,0.9947,0.9679,0.968,0.9965,0.9965,0.9784,0.9784,2252,564,256,2560,mlp,cohen_kappa,0.9784
Q13464,0.9925,0.9924,0.9524,0.9535,0.9925,0.9924,0.9524,0.9535,0.9888,0.9887,0.93,0.9303,0.9888,0.9884,0.9272,0.9297,1064,267,121,1210,xgb,cohen_kappa,0.9524
P53609,0.9708,0.9564,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,680,171,23,828,rf,f1_score,1.0
P14174,0.9512,0.9421,0.5784,0.6379,0.939,0.9231,0.4225,0.5175,0.9634,0.9645,0.78,0.7821,0.939,0.9231,0.4225,0.5175,325,82,37,370,svc,cohen_kappa,0.78
Q13153,0.9623,0.9609,0.7488,0.7515,0.9937,0.9936,0.9595,0.9603,0.9623,0.9634,0.7793,0.7814,0.9686,0.969,0.8103,0.8109,633,159,72,720,rf,cohen_kappa,0.9595
P19971,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9655,0.9681,0.8147,0.8291,0.931,0.9093,0.3136,0.4312,228,58,26,260,xgb,cohen_kappa,1.0
P21918,0.9736,0.9605,0.0,0.0,0.9927,0.9921,0.8351,0.8467,0.9956,0.9955,0.912,0.9124,0.9956,0.9954,0.9069,0.9108,2723,681,92,3312,svc,f1_score,0.9955
Q8IV61,0.9897,0.9894,0.9355,0.9375,0.9897,0.9894,0.9355,0.9375,1.0,1.0,1.0,1.0,0.9897,0.9894,0.9355,0.9375,387,97,44,440,svc,cohen_kappa,1.0
P02753,0.9886,0.9885,0.9299,0.9302,0.9848,0.9846,0.9048,0.9058,0.9924,0.9926,0.9558,0.9568,0.9773,0.9763,0.8514,0.8556,1056,264,120,1200,svc,cohen_kappa,0.9558
Q9NWZ3,0.9934,0.9933,0.9579,0.9588,0.9934,0.9933,0.9579,0.9588,0.9934,0.9934,0.9593,0.9593,0.9934,0.9933,0.9579,0.9588,1205,302,137,1370,svc,cohen_kappa,0.9593
Q8WWL7,0.987,0.9867,0.9179,0.9193,0.9892,0.9889,0.9308,0.9331,0.9805,0.981,0.8881,0.8899,0.9805,0.9795,0.8696,0.8771,1848,462,210,2100,rf,cohen_kappa,0.9308
Q86V86,0.9944,0.9943,0.9652,0.9655,0.9935,0.9935,0.9601,0.9605,0.9919,0.992,0.9521,0.9522,0.9935,0.9935,0.9604,0.9606,4954,1239,563,5630,xgb,cohen_kappa,0.9652
Q5TC84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9574,0.958,0.908,0.9119,184,47,77,154,xgb,cohen_kappa,1.0
Q9H4B4,0.9355,0.9205,0.4746,0.5578,0.9839,0.9832,0.9003,0.9048,0.9516,0.9533,0.7424,0.7451,0.9839,0.9832,0.9003,0.9048,246,62,28,280,rf,cohen_kappa,0.9003
P08254,0.997,0.9969,0.9814,0.9814,0.9966,0.9966,0.9792,0.9793,0.9956,0.9956,0.9735,0.9735,0.997,0.997,0.9817,0.9818,11809,2953,1342,13420,mlp,cohen_kappa,0.9817
Q15059,0.9917,0.991,0.8164,0.8305,0.9971,0.997,0.941,0.9427,0.9982,0.9982,0.9661,0.9662,0.9976,0.9976,0.9543,0.9546,6778,1695,229,8244,svc,cohen_kappa,0.9661
P25100,0.9828,0.9829,0.9616,0.9617,0.9902,0.9902,0.9779,0.9779,0.973,0.973,0.9392,0.9392,0.9877,0.9878,0.9725,0.9725,1632,408,680,1360,rf,cohen_kappa,0.9779
P37088,0.9718,0.9579,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1272,319,43,1548,rf,f1_score,1.0
Q9UBX1,0.9719,0.9581,0.0,0.0,0.9944,0.9941,0.886,0.8919,0.9888,0.9888,0.7942,0.7942,0.9888,0.9874,0.7446,0.7702,710,178,24,864,rf,f1_score,0.9941
Q96JM7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856,0.9861,0.9206,0.9235,554,139,63,630,xgb,cohen_kappa,1.0
P30305,0.9091,0.91,0.8,0.8018,0.9697,0.97,0.9333,0.9354,0.9394,0.9394,0.8636,0.8636,0.6667,0.5333,0.0,0.0,129,33,54,108,rf,f1_score,0.97
O75173,0.9928,0.9923,0.8426,0.8532,0.9964,0.9963,0.9267,0.9292,0.9964,0.9964,0.9315,0.9315,0.9982,0.9982,0.9657,0.9657,4440,1110,150,5400,mlp,cohen_kappa,0.9657
P07477,0.9916,0.9916,0.981,0.981,0.9937,0.9937,0.9857,0.9857,0.9831,0.9832,0.9624,0.9628,0.9684,0.9685,0.9294,0.9296,1893,474,789,1578,rf,cohen_kappa,0.9857
P22748,0.9889,0.9877,0.7479,0.7677,0.9948,0.9946,0.8939,0.8969,0.9878,0.9883,0.7899,0.7931,0.9919,0.9915,0.8331,0.8369,6869,1718,235,8352,rf,cohen_kappa,0.8939
