,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
P09038,0.9924,0.9923,0.9524,0.9535,0.9924,0.9923,0.9524,0.9535,1.0,1.0,1.0,1.0,0.9924,0.9923,0.9524,0.9535,528,132,60,600,svc,cohen_kappa,1.0
P04818,0.9937,0.9936,0.9614,0.9616,0.9968,0.9968,0.9807,0.9809,0.9937,0.9937,0.962,0.962,0.9937,0.9936,0.9608,0.9616,2534,634,288,2880,rf,cohen_kappa,0.9807
Q16832,0.9296,0.9057,0.268,0.3934,0.9859,0.9853,0.9015,0.9059,0.9718,0.9718,0.8179,0.8179,0.9859,0.9853,0.9015,0.9059,281,71,32,320,rf,cohen_kappa,0.9015
P00734,0.9908,0.9908,0.9792,0.9793,0.989,0.9889,0.9751,0.9751,0.9761,0.9761,0.9462,0.9462,0.9908,0.9908,0.9793,0.9793,6516,1629,2715,5430,mlp,cohen_kappa,0.9793
O00408,0.9964,0.9962,0.9263,0.9281,0.998,0.998,0.9612,0.9619,0.9989,0.9989,0.9786,0.9786,0.9978,0.9977,0.9563,0.9565,14267,3567,482,17352,svc,cohen_kappa,0.9786
P11166,0.9655,0.9659,0.9254,0.928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,29,48,96,rf,cohen_kappa,1.0
Q9HBW0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7692,0.7776,0.5517,0.6172,0.8462,0.8282,0.5806,0.6396,50,13,21,42,xgb,cohen_kappa,1.0
P13807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,281,71,32,320,xgb,cohen_kappa,1.0
Q8N1Q1,0.9913,0.9906,0.8119,0.8208,0.9951,0.995,0.9032,0.9047,0.9883,0.9889,0.8005,0.8045,0.9961,0.9962,0.9313,0.9335,4114,1029,139,5004,mlp,cohen_kappa,0.9313
P55263,0.9847,0.9817,0.5935,0.6496,0.9971,0.997,0.9419,0.9435,0.999,0.9991,0.982,0.9821,0.9933,0.9928,0.8538,0.8631,4173,1044,141,5076,svc,cohen_kappa,0.982
P50416,0.998,0.998,0.9603,0.9611,0.9991,0.9991,0.9833,0.9835,0.9974,0.9975,0.952,0.9524,0.9997,0.9997,0.9945,0.9945,13944,3487,472,16959,mlp,cohen_kappa,0.9945
Q04206,0.9394,0.9344,0.766,0.7878,0.9697,0.9686,0.8911,0.8964,0.9394,0.9394,0.7963,0.7963,0.8788,0.8527,0.45,0.5388,129,33,27,135,rf,cohen_kappa,0.8911
P08173,0.9843,0.9839,0.9006,0.9028,0.9754,0.974,0.8361,0.8438,0.9441,0.947,0.7005,0.7066,0.9821,0.9817,0.8877,0.8891,1786,447,203,2030,xgb,cohen_kappa,0.9006
Q9NPH5,0.9621,0.9575,0.7179,0.7483,0.9773,0.9758,0.8451,0.8554,0.9848,0.9842,0.9009,0.9054,0.9773,0.9758,0.8451,0.8554,528,132,60,600,svc,cohen_kappa,0.9009
O00767,0.9954,0.9952,0.9056,0.9096,0.9964,0.9963,0.9272,0.9297,0.9974,0.9974,0.9499,0.9499,0.9967,0.9967,0.9381,0.9381,12224,3057,413,14868,svc,cohen_kappa,0.9499
P32239,0.9942,0.9942,0.9868,0.9868,0.9912,0.9912,0.9803,0.9803,0.9912,0.9912,0.9802,0.9802,0.9883,0.9883,0.9735,0.9738,1368,342,570,1140,xgb,cohen_kappa,0.9868
P07711,0.9918,0.9917,0.9495,0.9497,0.9895,0.9892,0.933,0.9347,0.9778,0.9782,0.8712,0.8725,0.9912,0.9912,0.9463,0.9464,6828,1708,776,7760,xgb,cohen_kappa,0.9495
