,protein_family,xgb_accuracy,xgb_f1_score,xgb_cohen_kappa,xgb_mcc,rf_accuracy,rf_f1_score,rf_cohen_kappa,rf_mcc,svc_accuracy,svc_f1_score,svc_cohen_kappa,svc_mcc,mlp_accuracy,mlp_f1_score,mlp_cohen_kappa,mlp_mcc,train_count,test_count,actives_count,decoys_count,best_model,best_metric,best_score
P24530,GPCR,1.0,1.0,1.0,1.0,0.9916,0.9916,0.9811,0.9812,0.9916,0.9916,0.9813,0.9815,0.9916,0.9916,0.9813,0.9815,475,119,198,396,xgb,f1_score,1.0
Q9UGN5,Enzyme,0.96,0.957,0.7289,0.7411,0.9733,0.9713,0.8193,0.833,1.0,1.0,1.0,1.0,0.9733,0.9713,0.8193,0.833,598,150,68,680,svc,f1_score,1.0
P49798,Other,0.9884,0.988,0.927,0.9295,1.0,1.0,1.0,1.0,0.9884,0.9887,0.9347,0.9367,0.9884,0.988,0.927,0.9295,343,86,39,390,rf,f1_score,1.0
O14684,Enzyme,0.9914,0.9912,0.9453,0.9467,0.9871,0.9866,0.9161,0.9193,0.9756,0.9761,0.8587,0.8602,0.9892,0.9891,0.9329,0.9333,5561,1391,632,6320,xgb,f1_score,0.9912
Q9BY41,Epigenetic,0.9724,0.9723,0.9377,0.9377,0.9807,0.9806,0.9561,0.9566,0.942,0.9418,0.8688,0.869,0.953,0.953,0.8943,0.8943,1447,362,603,1206,rf,f1_score,0.9806
P27707,Kinase,0.9913,0.9911,0.9426,0.9442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9913,0.9911,0.9426,0.9442,457,115,52,520,rf,f1_score,1.0
Q969S8,Epigenetic,0.9876,0.9858,0.6979,0.7321,0.9946,0.9943,0.8861,0.8919,0.9915,0.9914,0.8362,0.8363,0.9876,0.9868,0.7357,0.7422,5152,1288,175,6265,rf,f1_score,0.9943
Q05397,Kinase,0.9973,0.9973,0.9469,0.9482,0.9991,0.9991,0.9829,0.983,0.9982,0.9982,0.9663,0.9663,0.9991,0.9991,0.9829,0.983,8998,2250,304,10944,rf,f1_score,0.9991
P14625,Other,0.9143,0.9133,0.8059,0.8076,0.9429,0.9415,0.8679,0.8756,0.9714,0.9711,0.9353,0.9373,0.9429,0.9415,0.8679,0.8756,139,35,58,116,svc,f1_score,0.9711
P53779,Kinase,0.9821,0.9812,0.8793,0.8858,0.9821,0.9812,0.8793,0.8858,0.9821,0.9815,0.8831,0.8858,0.9821,0.9812,0.8793,0.8858,1337,335,152,1520,svc,f1_score,0.9815
Q13224,IC,0.9828,0.979,0.5385,0.607,0.9943,0.994,0.8808,0.8872,0.9897,0.99,0.8182,0.8198,0.9908,0.991,0.8353,0.836,3492,874,118,4248,rf,f1_score,0.994
P41143,GPCR,0.9948,0.9947,0.9678,0.968,0.9965,0.9965,0.9785,0.9787,0.9942,0.9942,0.9647,0.9647,0.9945,0.9945,0.9666,0.9666,13736,3435,1561,15610,rf,f1_score,0.9965
Q99808,Transporter,0.994,0.9936,0.872,0.8792,0.9977,0.9977,0.9554,0.9563,0.9985,0.9985,0.9715,0.9715,0.9962,0.9962,0.9256,0.9265,5329,1333,181,6481,svc,f1_score,0.9985
O14965,Kinase,0.9979,0.9979,0.9873,0.9873,0.9969,0.9968,0.9807,0.9809,0.9953,0.9953,0.9721,0.9723,0.9932,0.9932,0.9592,0.9593,7656,1914,870,8700,xgb,f1_score,0.9979
P0DMS9,Other,0.9677,0.9644,0.7613,0.784,0.9839,0.9831,0.8913,0.8966,0.9677,0.9677,0.8005,0.8005,0.9758,0.9741,0.8294,0.8417,492,124,56,560,rf,f1_score,0.9831
Q9GZQ6,GPCR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184,47,21,210,xgb,f1_score,1.0
P05129,Kinase,0.9767,0.9752,0.8448,0.8551,0.9767,0.9752,0.8448,0.8551,0.9884,0.9887,0.9347,0.9367,0.9884,0.988,0.927,0.9295,343,86,39,390,svc,f1_score,0.9887
Q15759,Kinase,0.942,0.9284,0.4773,0.5599,0.9565,0.9547,0.7039,0.7073,0.9565,0.9603,0.7767,0.7968,0.942,0.9457,0.6828,0.6915,272,69,31,310,svc,f1_score,0.9603
Q16620,Kinase,0.9767,0.9752,0.8448,0.8551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9709,0.9713,0.8324,0.8329,686,172,78,780,rf,f1_score,1.0
Q99538,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9932,0.9934,0.9593,0.96,1.0,1.0,1.0,1.0,589,148,67,670,xgb,f1_score,1.0
P00488,Enzyme,0.9686,0.9668,0.7832,0.7899,0.9811,0.9801,0.8699,0.8774,0.9874,0.9874,0.9217,0.9217,0.9686,0.9668,0.7832,0.7899,633,159,72,720,svc,f1_score,0.9874
P25774,Enzyme,0.9956,0.9956,0.9731,0.9733,0.9936,0.9935,0.9602,0.9607,0.9854,0.9855,0.9124,0.9124,0.9951,0.995,0.9699,0.9699,13736,3435,1561,15610,xgb,f1_score,0.9956
Q9H6Z9,Other,0.9852,0.9823,0.6023,0.6565,0.9951,0.9948,0.894,0.8991,0.9934,0.9936,0.879,0.8806,0.9951,0.9948,0.894,0.8991,2427,607,82,2952,rf,f1_score,0.9948
P10721,Kinase,0.9905,0.9904,0.9413,0.9416,0.9905,0.9903,0.9405,0.9414,0.9905,0.9905,0.9429,0.9429,0.9878,0.9876,0.9246,0.9249,2939,735,334,3340,svc,f1_score,0.9905
P28221,GPCR,0.9917,0.9916,0.9479,0.9492,0.99,0.9897,0.9361,0.938,0.9888,0.9888,0.9327,0.9328,0.9923,0.9923,0.9529,0.953,6776,1694,770,7700,mlp,f1_score,0.9923
P48443,NR,0.9928,0.9927,0.9561,0.957,0.9928,0.9927,0.9561,0.957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,554,139,63,630,svc,f1_score,1.0
P37268,Enzyme,0.985,0.9844,0.901,0.9054,0.988,0.9876,0.9221,0.9249,0.988,0.9878,0.9245,0.9251,0.988,0.9878,0.9245,0.9251,1328,333,151,1510,svc,f1_score,0.9878
P51452,Enzyme,0.8824,0.8669,0.6047,0.6583,0.8824,0.8669,0.6047,0.6583,0.7647,0.7339,0.2093,0.2279,0.7059,0.6903,0.1053,0.107,67,17,21,63,xgb,f1_score,0.8669
P21802,Kinase,0.9983,0.9982,0.9658,0.9663,1.0,1.0,1.0,1.0,0.9974,0.9974,0.9525,0.9536,0.9991,0.9991,0.9837,0.9838,4588,1147,155,5580,rf,f1_score,1.0
Q04912,Kinase,0.9818,0.9809,0.8791,0.8856,1.0,1.0,1.0,1.0,0.9818,0.9809,0.8791,0.8856,0.9636,0.9663,0.8136,0.8281,220,55,25,250,rf,f1_score,1.0
P29466,Enzyme,0.9955,0.9955,0.9899,0.99,0.9955,0.9955,0.9899,0.99,0.9866,0.9866,0.9698,0.9699,0.9866,0.9866,0.9698,0.9699,892,224,372,744,xgb,f1_score,0.9955
P08473,Enzyme,0.9909,0.9908,0.9433,0.944,0.9924,0.9923,0.9524,0.9535,0.9909,0.9908,0.9433,0.944,0.9939,0.9939,0.9628,0.9629,2640,660,300,3000,mlp,f1_score,0.9939
Q96IY4,Enzyme,0.997,0.9969,0.9396,0.9413,0.999,0.999,0.9806,0.9808,0.999,0.999,0.9813,0.9815,0.9949,0.9947,0.8954,0.9003,3936,985,133,4788,svc,f1_score,0.999
P30530,Kinase,0.9467,0.9368,0.5763,0.6362,0.9733,0.9713,0.8193,0.833,0.9867,0.9871,0.926,0.9285,0.9867,0.9862,0.9158,0.9191,299,75,34,340,svc,f1_score,0.9871
P56373,IC,0.9961,0.9961,0.9762,0.9763,0.9983,0.9983,0.9899,0.9899,0.9956,0.9956,0.9736,0.9738,0.9983,0.9983,0.9899,0.9899,7233,1809,822,8220,mlp,f1_score,0.9983
P11766,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,272,69,31,310,xgb,f1_score,1.0
P30939,GPCR,0.9853,0.9825,0.609,0.6617,0.9927,0.9921,0.8351,0.8467,0.9912,0.9909,0.819,0.8205,0.9971,0.997,0.9397,0.9414,2723,681,92,3312,mlp,f1_score,0.997
P04066,Enzyme,0.9899,0.9896,0.9357,0.9376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,396,99,45,450,rf,f1_score,1.0
P47871,GPCR,0.991,0.991,0.9797,0.9797,0.991,0.991,0.9797,0.9797,0.9701,0.9702,0.9334,0.9342,0.979,0.9791,0.9529,0.9529,1334,334,556,1112,xgb,f1_score,0.991
P34913,Enzyme,0.9923,0.9923,0.9525,0.953,0.99,0.9899,0.9377,0.9384,0.9877,0.9878,0.9273,0.9277,0.9884,0.9885,0.9319,0.9326,12020,3006,1366,13660,xgb,f1_score,0.9923
Q13510,Enzyme,0.9892,0.9889,0.9275,0.93,1.0,1.0,1.0,1.0,0.9785,0.9796,0.8771,0.8838,1.0,1.0,1.0,1.0,369,93,42,420,rf,f1_score,1.0
P23458,Kinase,0.9979,0.9979,0.987,0.987,0.9979,0.9979,0.987,0.987,0.997,0.997,0.9819,0.9819,0.9987,0.9987,0.9922,0.9922,9380,2346,1066,10660,mlp,f1_score,0.9987
O76083,Enzyme,0.9945,0.9942,0.8818,0.8881,0.9972,0.9972,0.944,0.9455,0.9991,0.9991,0.982,0.9821,0.9991,0.9991,0.982,0.9821,4351,1088,147,5292,svc,f1_score,0.9991
Q01432,Enzyme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9636,0.9594,0.7317,0.7596,220,55,25,250,xgb,f1_score,1.0
P07099,Enzyme,0.9919,0.9913,0.8235,0.8318,0.9951,0.995,0.9007,0.9027,0.9894,0.99,0.8213,0.8277,0.9959,0.9958,0.9186,0.9197,4913,1229,166,5976,mlp,f1_score,0.9958
P23219,Enzyme,0.9914,0.9912,0.9453,0.9467,0.9857,0.9851,0.906,0.9101,0.9842,0.9844,0.9061,0.9063,0.99,0.9899,0.9385,0.9385,2789,698,317,3170,xgb,f1_score,0.9912
