protein_family,best_model,best_metric,best_score
GPCR,xgb,f1_score,1.0
Enzyme,svc,f1_score,1.0
Other,rf,f1_score,1.0
Enzyme,xgb,f1_score,0.9912
Epigenetic,rf,f1_score,0.9806
Kinase,rf,f1_score,1.0
Epigenetic,rf,f1_score,0.9943
Kinase,rf,f1_score,0.9991
Other,svc,f1_score,0.9711
Kinase,svc,f1_score,0.9815
IC,rf,f1_score,0.9940000000000001
GPCR,rf,f1_score,0.9965
Transporter,svc,f1_score,0.9985
Kinase,xgb,f1_score,0.9979
Other,rf,f1_score,0.9831
GPCR,xgb,f1_score,1.0
Kinase,svc,f1_score,0.9887
Kinase,svc,f1_score,0.9603
Kinase,rf,f1_score,1.0
Enzyme,xgb,f1_score,1.0
Enzyme,svc,f1_score,0.9874
Enzyme,xgb,f1_score,0.9956
Other,rf,f1_score,0.9948
Kinase,svc,f1_score,0.9905
GPCR,mlp,f1_score,0.9923
NR,svc,f1_score,1.0
Enzyme,svc,f1_score,0.9878
Enzyme,xgb,f1_score,0.8669
Kinase,rf,f1_score,1.0
Kinase,rf,f1_score,1.0
Enzyme,xgb,f1_score,0.9955
Enzyme,mlp,f1_score,0.9939
Enzyme,svc,f1_score,0.9990000000000001
Kinase,svc,f1_score,0.9871
IC,mlp,f1_score,0.9983
Enzyme,xgb,f1_score,1.0
GPCR,mlp,f1_score,0.997
Enzyme,rf,f1_score,1.0
GPCR,xgb,f1_score,0.991
Enzyme,xgb,f1_score,0.9923
Enzyme,rf,f1_score,1.0
Kinase,mlp,f1_score,0.9987
Enzyme,svc,f1_score,0.9991
Enzyme,xgb,f1_score,1.0
Enzyme,mlp,f1_score,0.9958
Enzyme,xgb,f1_score,0.9912
Enzyme,rf,f1_score,0.9926
GPCR,rf,f1_score,0.9978
GPCR,rf,f1_score,0.9988
IC,xgb,f1_score,0.9718
Enzyme,rf,f1_score,0.9965
Enzyme,mlp,f1_score,0.9948
TF; Epigenetic,svc,f1_score,0.9693
GPCR,svc,f1_score,0.9838
NR,rf,f1_score,1.0
TF,xgb,f1_score,0.9027
Kinase,mlp,f1_score,0.9952
Enzyme,xgb,f1_score,0.9968
Enzyme,svc,f1_score,1.0
Enzyme,svc,f1_score,0.9992
NR,mlp,f1_score,0.993
Kinase,svc,f1_score,0.9984
Enzyme,mlp,f1_score,1.0
Enzyme,svc,f1_score,0.9842
GPCR,xgb,f1_score,0.9954
Enzyme,xgb,f1_score,1.0
Enzyme,rf,f1_score,1.0
Epigenetic,svc,f1_score,0.9982
Kinase,rf,f1_score,0.9946
GPCR,mlp,f1_score,0.9994
Epigenetic,mlp,f1_score,0.9933
Other,rf,f1_score,1.0
Enzyme,svc,f1_score,0.9848
Epigenetic,xgb,f1_score,0.9132
Kinase,xgb,f1_score,1.0
Enzyme,svc,f1_score,0.9956
Kinase,rf,f1_score,0.9866
Enzyme,rf,f1_score,1.0
Enzyme,xgb,f1_score,0.9988
Kinase,svc,f1_score,0.9864
Enzyme,xgb,f1_score,0.9989
TF,svc,f1_score,0.9570000000000001
Other,xgb,f1_score,1.0
Kinase,mlp,f1_score,0.988
GPCR,svc,f1_score,1.0
Enzyme,xgb,f1_score,0.9931
Epigenetic,svc,f1_score,1.0
GPCR,rf,f1_score,1.0
Kinase,xgb,f1_score,0.9924
GPCR,svc,f1_score,0.9956
Kinase,mlp,f1_score,0.9959
Kinase,svc,f1_score,0.9977
Enzyme,svc,f1_score,1.0
GPCR,rf,f1_score,1.0
GPCR,xgb,f1_score,1.0
Enzyme,xgb,f1_score,0.9898
Kinase,mlp,f1_score,0.9962
Kinase,mlp,f1_score,0.9969
Enzyme,svc,f1_score,0.9943
Enzyme,svc,f1_score,1.0
Enzyme,xgb,f1_score,1.0
Epigenetic,rf,f1_score,0.972
Kinase,mlp,f1_score,0.9965
Enzyme,rf,f1_score,0.9916
Enzyme,xgb,f1_score,0.9877
IC,mlp,f1_score,0.9829
IC,xgb,f1_score,1.0
Kinase,svc,f1_score,1.0
Kinase,mlp,f1_score,0.9975
Kinase,svc,f1_score,0.9899
Enzyme,svc,f1_score,0.9608
Enzyme,rf,f1_score,0.9901
Kinase,svc,f1_score,0.9946
Other,xgb,f1_score,1.0
GPCR,rf,f1_score,0.9944
Transporter,xgb,f1_score,1.0
GPCR,svc,f1_score,0.9965
Enzyme,mlp,f1_score,0.9657
